id,name,slot,rarity,file,description
homespun-linen-shirt,Homespun Linen Shirt,shirt,common,assets/shirts/01-homespun-linen-shirt.png,"A plain cream linen shirt with full sleeves and gathered cuffs, suitable for everyday wear among laborers, apprentices, and colonists in the Atlantic world."
harbor-poet-shirt,Harbor Poet Shirt,shirt,common,assets/shirts/02-harbor-poet-shirt.png,"A loose-cut beige shirt with an open collar and billowing sleeves, the sort of practical but stylish garment a town clerk, sailor, or wandering writer might wear."
merchant-waistcoat-shirt,Merchant Waistcoat Shirt,shirt,uncommon,assets/shirts/03-merchant-waistcoat-shirt.png,"A white linen shirt layered beneath a brown waistcoat, fit for a shopkeeper, trader, or prosperous colonial merchant conducting business in port towns."
governors-cravat-shirt,Governor's Cravat Shirt,shirt,rare,assets/shirts/04-governors-cravat-shirt.png,"An elegant ivory shirt with pleated front panels, ruffled cuffs, and a formal cravat, suitable for a gentleman of rank or an official at a colonial gathering."
mariners-neckerchief-shirt,Mariner's Neckerchief Shirt,shirt,common,assets/shirts/05-mariners-neckerchief-shirt.png,"A worn cream work shirt tied with a blue neckerchief, ideal for a sailor, dockhand, or traveler moving between ship and shore."
sailors-smock,Sailor's Smock,shirt,uncommon,assets/shirts/06-sailors-smock.png,"A cream maritime smock with a navy sailor collar and necktie, inspired by seafaring dress and well suited to Atlantic crossings and naval life."
fishermans-work-smock,Fisherman's Work Smock,shirt,common,assets/shirts/07-fishermans-work-smock.png,"A rugged blue work smock with large patch pockets and rope ties, built for fishermen, harbor workers, and labor in wet coastal conditions."
buckskin-fringe-shirt,Buckskin Fringe Shirt,shirt,uncommon,assets/shirts/08-buckskin-fringe-shirt.png,"A tan buckskin shirt with fringe and leather ties, inspired by frontier and Indigenous-influenced clothing traditions adapted to travel and hunting."
burgundy-brocade-doublet,Burgundy Brocade Doublet,shirt,rare,assets/shirts/09-burgundy-brocade-doublet.png,"A richly colored burgundy garment with brocade texture, gold-trim accents, and billowing sleeves, suited to a wealthy patron, courtly figure, or theatrical merchant."
ruffled-dress-shirt,Ruffled Dress Shirt,shirt,uncommon,assets/shirts/10-ruffled-dress-shirt.png,"A crisp white shirt with ruffled chest detailing and lace-trimmed cuffs, reflecting the more formal fashions worn by gentlemen on ceremonial or social occasions."
